OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Quantity,UnitPrice,TotalAmount,Region,PaymentMethod
100001,2018-04-21,C1367,Customer_1367,P001,Wireless Mouse,Electronics,1,350,350,West,Cash on Delivery
100002,2023-11-07,C0857,Customer_857,P016,Blender,Home,1,482,482,South,EMI
100003,2018-01-18,C0373,Customer_373,P006,Running Shoes,Apparel,1,2014,2014,North,Wallet
100004,2020-07-29,C0224,Customer_224,P017,Sunglasses,Accessories,3,379,1137,West,UPI
100005,2020-01-20,C0328,Customer_328,P009,Yoga Mat,Sports,4,389,1556,South,Credit Card
100006,2019-02-21,C1096,Customer_1096,P010,Office Chair,Furniture,1,1442,1442,East,EMI
100007,2019-11-21,C1147,Customer_1147,P003,Bluetooth Speaker,Electronics,1,909,909,North,Credit Card
100008,2018-08-29,C1403,Customer_1403,P004,USB-C Cable,Accessories,1,117,117,East,NetBanking
100009,2021-12-02,C0472,Customer_472,P008,Coffee Maker,Home,2,1065,1971,East,Wallet
100010,2019-04-13,C1474,Customer_1474,P018,Smartphone Case,Accessories,1,445,379,West,Wallet
100011,2019-06-21,C1077,Customer_1077,P012,T-Shirt,Apparel,1,272,218,West,EMI
100012,2023-06-27,C1548,Customer_1548,P020,Electric Kettle,Home,4,602,2408,South,Wallet
100013,2024-11-22,C0334,Customer_334,P019,Noise Cancelling Headphones,Electronics,3,2235,6705,North,EMI
100014,2021-10-08,C0457,Customer_457,P017,Sunglasses,Accessories,1,397,397,South,Debit Card
100015,2020-08-23,C0829,Customer_829,P002,Laptop Sleeve,Accessories,1,578,578,Central,Credit Card
100016,2018-11-12,C1213,Customer_1213,P019,Noise Cancelling Headphones,Electronics,1,2355,2355,East,EMI
100017,2021-03-31,C1167,Customer_1167,P012,T-Shirt,Apparel,2,250,500,East,Debit Card
100018,2018-02-16,C0375,Customer_375,P005,Smartwatch,Electronics,4,1121,4484,East,Wallet
100019,2023-03-22,C0212,Customer_212,P009,Yoga Mat,Sports,10,498,4980,West,Debit Card
100020,2022-05-10,C0590,Customer_590,P006,Running Shoes,Apparel,2,2001,4002,Central,EMI
100021,2023-08-23,C0086,Customer_86,P012,T-Shirt,Apparel,1,244,244,West,Cash on Delivery
100022,2019-08-15,C1249,Customer_1249,P002,Laptop Sleeve,Accessories,1,528,528,South,UPI
100023,2020-12-29,C1018,Customer_1018,P001,Wireless Mouse,Electronics,1,390,390,West,EMI
100024,2020-04-17,C0781,Customer_781,P020,Electric Kettle,Home,1,554,554,East,EMI
100025,2019-03-10,C1273,Customer_1273,P019,Noise Cancelling Headphones,Electronics,1,1894,1894,Central,EMI
100026,2018-03-17,C1526,Customer_1526,P012,T-Shirt,Apparel,1,248,248,Central,EMI
100027,2020-03-15,C1083,Customer_1083,P002,Laptop Sleeve,Accessories,1,499,499,East,Cash on Delivery
100028,2018-07-04,C1297,Customer_1297,P020,Electric Kettle,Home,1,467,421,West,Credit Card
100029,2020-11-13,C1122,Customer_1122,P020,Electric Kettle,Home,1,442,442,Central,EMI
100030,2019-07-19,C1112,Customer_1112,P014,Backpack,Accessories,2,683,1366,East,UPI
100031,2021-07-22,C1530,Customer_1530,P012,T-Shirt,Apparel,2,256,474,Central,Debit Card
100032,2021-07-11,C0907,Customer_907,P009,Yoga Mat,Sports,2,409,818,West,Cash on Delivery
100033,2021-01-01,C1241,Customer_1241,P018,Smartphone Case,Accessories,1,776,776,North,Wallet
100034,2022-08-16,C0624,Customer_624,P008,Coffee Maker,Home,1,941,941,East,Debit Card
100035,2018-08-09,C0106,Customer_106,P004,USB-C Cable,Accessories,1,135,135,Central,EMI
100036,2022-02-08,C1232,Customer_1232,P017,Sunglasses,Accessories,1,282,268,Central,EMI
100037,2020-05-20,C1040,Customer_1040,P009,Yoga Mat,Sports,1,371,371,South,Debit Card
100038,2022-04-07,C1390,Customer_1390,P009,Yoga Mat,Sports,1,385,385,West,NetBanking
100039,2019-06-03,C1502,Customer_1502,P004,USB-C Cable,Accessories,1,167,167,West,EMI
100040,2018-08-07,C0645,Customer_645,P003,Bluetooth Speaker,Electronics,1,936,796,Central,Cash on Delivery
100041,2018-05-12,C0022,Customer_22,P009,Yoga Mat,Sports,2,345,690,South,Credit Card
100042,2020-10-28,C0795,Customer_795,P007,Desk Lamp,Home,3,599,1797,East,Debit Card
100043,2024-01-20,C1162,Customer_1162,P008,Coffee Maker,Home,2,1050,2100,Central,Wallet
100044,2018-05-02,C0587,Customer_587,P007,Desk Lamp,Home,2,484,968,South,Credit Card
100045,2021-06-18,C1086,Customer_1086,P012,T-Shirt,Apparel,1,242,242,West,Credit Card
100046,2018-11-08,C1127,Customer_1127,P010,Office Chair,Furniture,1,1503,1503,West,Wallet
